City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
346,Black River,JM,81.99,clear sky,18.0264,-77.8487,Idlers' Rest Beach Hotel
347,Jumla,NP,37.98,overcast clouds,29.2747,82.1838,Royal Garden Hotel
348,Umm Lajj,SA,64.65,scattered clouds,25.0213,37.2685,Moon light Furnished Units
349,Gamarra,CO,98.53,clear sky,8.3228,-73.7427,Hotel El Puerto De NINA
350,Kolondieba,ML,84.94,clear sky,11.0882,-6.8926,Hotel Dakan
351,Inirida,CO,92.89,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
353,Taltal,CL,71.37,scattered clouds,-25.4,-70.4833,Residencial Karime
357,Oschatz,DE,41.02,broken clouds,51.3,13.1167,Hotel Gasthaus Zum Schwan
358,Maceio,BR,90.84,clear sky,-9.6658,-35.7353,Poutur Pousada
360,Barra Do Garcas,BR,82.98,thunderstorm,-15.89,-52.2567,Hotel Pousada Tropical
361,Pinheiro Machado,BR,90.05,broken clouds,-31.5783,-53.3811,Hotel e Restaurante Quitandinha
363,Ngaoundere,CM,65.8,few clouds,7.3167,13.5833,Hotel Mentong Palace
364,Charlestown,AU,71.73,broken clouds,-32.95,151.6667,Panorama Motor Inn Hotel
366,Awbari,LY,53.01,clear sky,26.5921,12.7805,فندق أوباري
369,Vila Franca Do Campo,PT,63.01,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
370,Adilabad,IN,67.15,clear sky,19.6667,78.5333,Dwaraka Hotel.
372,Leeuwarden,NL,45.0,overcast clouds,53.2014,5.8086,Bastion Hotel Leeuwarden
373,Lekoni,GA,79.54,overcast clouds,-1.5843,14.2591,Rendez-vous Des ChasseursD
374,Mumford,GH,82.26,scattered clouds,5.2618,-0.759,Spanish Villa
375,Bluefield,US,43.79,overcast clouds,37.2698,-81.2223,Economy Inn
376,Manta,EC,83.98,few clouds,-0.95,-80.7333,Balandra Hotel
378,Ferkessedougou,CI,84.56,clear sky,9.6,-5.2,Hotel Chateau
379,Knysna,ZA,64.78,clear sky,-34.0363,23.0471,Protea Hotel by Marriott Knysna Quays
381,Shelburne,CA,35.91,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
382,Stolin,BY,31.57,overcast clouds,51.8912,26.846,Stolinskiy Khlebozavod
384,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
385,Tamayo,DO,85.71,few clouds,18.3947,-71.2029,Hotel del Valle
386,Palmas Bellas,PA,89.1,clear sky,9.2319,-80.0867,Estación de Chagres
388,Manica,FR,44.01,overcast clouds,49.0,-1.1667,Gite Lily
389,Mwinilunga,ZM,62.01,overcast clouds,-11.7358,24.4293,Kwakuwahi Lodge
390,Maralal,KE,62.01,scattered clouds,1.0968,36.698,Ngari Hill Ecolodge
391,Lolodorf,CM,74.73,scattered clouds,3.2333,10.7333,Auberge La Decouverte
392,Pasni,PK,72.23,scattered clouds,25.2631,63.471,Kashmiri Hotal
393,North Myrtle Beach,US,62.11,clear sky,33.816,-78.68,Avista Resort
394,Richards Bay,ZA,74.28,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
395,Naranjal,EC,89.4,broken clouds,-2.6667,-79.6167,Media Naranja
396,Phalombe,MW,66.43,overcast clouds,-15.8064,35.6507,RIVONIA
397,Hirson,FR,40.86,overcast clouds,49.9226,4.0826,Thierache Sport Nature
398,Kajaani,FI,33.85,overcast clouds,64.2273,27.7285,Original Sokos Hotel Valjus
399,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
400,Omagh,GB,43.79,moderate rain,54.6,-7.3,Silverbirch Hotel
401,Ancud,CL,69.22,light rain,-41.8697,-73.8203,Hotel Arena Gruesa
402,Bektemir,UZ,35.65,broken clouds,41.2097,69.3342,Grace Garden
405,Porbandar,IN,72.03,clear sky,21.6422,69.6093,Lords Inn Porbandar
406,Nur,PL,34.79,overcast clouds,52.6683,22.3221,W Łęgu Natury Noclegi Pensjonat
407,Sheffield,GB,43.14,scattered clouds,53.383,-1.4659,Hotel Novotel Sheffield Centre
408,Mbeya,TZ,57.0,overcast clouds,-8.9,33.45,Leda Lodge
409,Yarim,YE,55.29,scattered clouds,14.298,44.3779,وليد المسوري ابو اسد
411,Reconquista,AR,99.18,broken clouds,-29.15,-59.65,Grand Hotel
413,Asilah,MA,57.16,broken clouds,35.465,-6.0348,Hotel Zelis
414,Mokhotlong,LS,55.42,overcast clouds,-29.2894,29.0675,Tsabi's Guest House
415,Ladispoli,IT,51.98,few clouds,41.9537,12.0735,Hotel Villa Margherita
418,Kant,IN,50.29,scattered clouds,27.8,79.8,Haseeb Khan shatreng
419,Oliveira Do Hospital,PT,45.88,clear sky,40.3618,-7.8601,Casa da Bezerra
422,Kincardine,GB,45.19,broken clouds,56.0667,-3.7167,Premier Inn Falkirk North hotel
423,Owando,CG,75.94,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
424,La Primavera,CO,96.84,few clouds,5.4906,-70.4092,La Riviera Hotel Colonial
425,Viedma,AR,66.11,overcast clouds,-40.8135,-62.9967,Hotel Cristal
427,Ballina,AU,71.64,light rain,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
429,La Palma,US,64.11,mist,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
430,General Roca,AR,66.6,overcast clouds,-39.0333,-67.5833,Hotel y Casino del Río General Roca
432,Manjacaze,MZ,72.28,clear sky,-24.7117,33.8828,Hotel Gani
433,Gidole,ET,61.61,light rain,5.65,37.3667,Shallom mekaneyesus church
435,Mizan Teferi,ET,63.14,broken clouds,6.9833,35.5833,Hotel Salayish | ሆቴል ሳላይሽ
437,Bonthe,SL,83.59,broken clouds,7.5264,-12.505,Bonthe Holiday Village
438,Rio Gallegos,AR,64.45,few clouds,-51.6226,-69.2181,Hotel Santa Cruz
440,Sao Jose Da Coroa Grande,BR,84.58,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
441,Nusaybin,TR,32.7,light snow,37.0778,41.2178,Aydinlar Hotel
444,Kapoeta,SS,84.0,overcast clouds,4.7717,33.5903,Eastgate Hotel
445,Atar,MR,83.52,clear sky,20.5169,-13.0499,Oumou Elghoura
446,Parainen,FI,39.15,overcast clouds,60.3067,22.301,Hotell Kalkstrand
447,Peniche,PT,56.68,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
448,Manavalakurichi,IN,80.69,broken clouds,8.1333,77.3,Jebinrio home
450,Ataco,CO,87.87,scattered clouds,3.5915,-75.3818,Hotel y Restaurante El Ganadero
451,La Asuncion,VE,83.93,clear sky,11.0333,-63.8628,Colinas de Matasiete
452,Douentza,ML,73.74,clear sky,14.9951,-2.9517,Ogomono Doumbo
454,Shahreza,IR,33.53,clear sky,32.0339,51.8794,خوابگاه
456,Sabaudia,IT,51.84,clear sky,41.3003,13.0282,Oasi di Kufra
458,Mangan,IN,50.18,scattered clouds,27.5167,88.5333,Hotel Mout View
460,Svetlyy,RU,35.96,overcast clouds,54.675,20.1347,"Gostinitsa-Kafe, Alena"
462,Ambatolampy,MG,62.37,light rain,-19.3833,47.4167,Au Rendez Vous Des P?Ÿƒ¦cheurs
465,Leon,MX,69.85,broken clouds,21.1167,-101.6667,ENTERPRISE INN POLIFORUM
466,Loandjili,CG,78.91,few clouds,-4.7561,11.8578,Résidence ARCHANGE
467,Cavalcante,BR,82.35,scattered clouds,-13.7975,-47.4583,Pousada Vila dos Ipês
468,Parintins,BR,91.33,scattered clouds,-2.6283,-56.7358,Cama e Cafe
470,Kronach,DE,37.56,light snow,50.2396,11.3331,Die Kronacher Stadthotels
473,Chapada Dos Guimaraes,BR,80.26,light rain,-15.4606,-55.7497,Pousada Morro Dos Ventos
476,Loralai,PK,51.19,clear sky,30.3705,68.598,Saddam Hotel & Resturant
477,Havelock,US,61.05,clear sky,34.8791,-76.9013,Sherwood Motel
478,Quilmana,PE,78.85,broken clouds,-12.95,-76.3833,Hospedaje SAN ANTONIO
479,Barcelona,ES,51.78,few clouds,41.3888,2.159,Axel Hotel Barcelona
480,Lasa,IT,36.86,clear sky,46.6166,10.7002,Pension Feldgärtenhof
481,Bouna,CI,81.99,clear sky,9.2667,-3.0,Hôtel lababa
482,Zwiesel,DE,33.46,scattered clouds,49.0167,13.2333,Hotel Ahornhof
