City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
122,Camacha,PT,33.0833,-16.3333,63.36,72,20,16.11,few clouds
123,Channahon,US,41.4295,-88.2287,23.31,70,40,1.99,scattered clouds
124,Macusani,PE,-14.0833,-70.4333,44.33,80,95,6.13,overcast clouds
125,Hobyo,SO,5.3505,48.5268,78.44,80,91,16.04,overcast clouds
126,Nizhnyaya Omka,RU,55.4338,74.9426,0.99,97,80,7.07,broken clouds
127,Tabas,IR,33.5959,56.9244,45.81,25,0,1.05,clear sky
128,Dikson,RU,73.5069,80.5464,-19.35,100,61,6.76,broken clouds
129,Baza,ES,37.4907,-2.7726,47.43,60,0,5.01,clear sky
130,Lakselv,NO,70.0513,24.9718,30.02,59,0,23.02,clear sky
131,Cap Malheureux,MU,-19.9842,57.6142,79.47,87,100,5.61,overcast clouds
132,Rudbar,AF,30.15,62.6,56.37,58,16,7.09,few clouds
133,Cibitoke,BI,-2.8833,29.25,61.81,90,100,3.91,light rain
134,Chuy,UY,-33.6971,-53.4616,82.69,74,82,5.41,broken clouds
135,Saint-Joseph,RE,-21.3667,55.6167,79.16,87,81,4.21,light rain
136,Husavik,IS,66.0449,-17.3389,13.64,75,59,12.64,broken clouds
137,Sao Felix Do Xingu,BR,-6.6447,-51.995,88.16,56,52,2.08,broken clouds
138,Havoysund,NO,70.9963,24.6622,32.23,65,100,34.2,snow
139,Manturovo,RU,58.3353,44.7619,3.22,98,80,6.06,broken clouds
140,El Rosario,MX,24.2556,-107.1828,80.8,25,49,5.61,scattered clouds
141,Diamantino,BR,-14.4086,-56.4461,84.18,66,71,7.0,broken clouds
142,Mateare,NI,12.2351,-86.4281,90.93,38,6,15.93,clear sky
143,Aba,NG,5.1066,7.3667,82.42,34,86,2.93,overcast clouds
144,Pimenta Bueno,BR,-11.6725,-61.1936,89.15,58,50,1.57,scattered clouds
145,Sumbe,AO,-11.2061,13.8437,75.69,73,52,8.34,broken clouds
146,Funtua,NG,11.5233,7.3081,64.18,23,12,9.73,few clouds
147,Iturama,BR,-19.7281,-50.1956,87.76,49,76,5.88,broken clouds
148,Sorland,NO,67.667,12.6934,31.86,68,100,40.76,snow
149,Newnan,US,33.3807,-84.7997,60.71,35,0,4.0,clear sky
150,Grindavik,IS,63.8424,-22.4338,28.87,86,75,6.91,broken clouds
151,Qandala,SO,11.472,49.8728,76.06,79,67,3.47,broken clouds
152,Ejido,VE,8.5514,-71.2375,81.27,51,48,6.11,scattered clouds
153,Millinocket,US,45.6573,-68.7098,5.02,85,100,4.61,snow
154,Tigzirt,DZ,36.8886,4.1198,51.93,64,0,4.92,clear sky
155,Wilmington,US,34.2257,-77.9447,62.51,51,0,10.36,clear sky
156,Rocha,UY,-34.4833,-54.3333,75.74,87,99,11.1,overcast clouds
157,Mitu,CO,1.1983,-70.1733,78.19,91,98,1.7,overcast clouds
158,Sao Joao Da Barra,BR,-21.6403,-41.0511,87.89,81,8,14.45,clear sky
159,Virklund,DK,56.1322,9.5558,40.77,74,98,26.44,overcast clouds
160,Raudeberg,NO,61.9875,5.1352,28.87,77,99,5.99,light snow
161,Varkaus,FI,62.3153,27.873,33.91,90,100,11.43,overcast clouds
162,Saint George,US,37.1041,-113.5841,53.35,70,0,3.44,clear sky
163,Fort-Shevchenko,KZ,44.5086,50.263,40.1,87,100,7.02,overcast clouds
164,Portree,GB,57.4129,-6.1942,43.86,81,66,16.22,broken clouds
165,Kutum,SD,14.2,24.6667,58.08,25,0,11.95,clear sky
166,Nebug,RU,44.1714,39.0036,32.88,87,100,7.2,snow
167,Mariental,NA,-24.6333,17.9667,83.82,37,95,7.18,overcast clouds
168,Rawson,AR,-43.3002,-65.1023,69.37,43,46,15.77,scattered clouds
169,Olot,ES,42.181,2.4901,47.21,58,2,0.25,clear sky
170,Banagher,IE,53.1886,-7.9867,41.56,87,64,7.47,broken clouds
171,Palm Coast,US,29.585,-81.2078,72.0,60,0,5.99,clear sky
172,Jaciara,BR,-15.9653,-54.9683,88.88,52,79,3.4,broken clouds
173,Mattru,SL,7.6244,-11.8332,89.13,29,11,4.68,few clouds
174,Strezhevoy,RU,60.7333,77.5889,15.78,98,99,7.4,overcast clouds
175,Sazonovo,RU,59.0919,35.2268,29.48,95,100,10.6,overcast clouds
176,Haldensleben,DE,52.2891,11.4098,41.52,79,100,17.27,overcast clouds
177,Uniara,IN,26.15,75.2167,60.01,39,2,4.25,clear sky
178,Saurimo,AO,-9.6608,20.3916,65.62,93,87,2.71,overcast clouds
179,Mbanza-Ngungu,CD,-5.25,14.8667,71.19,89,63,3.09,broken clouds
180,Bluffton,US,32.2371,-80.8604,62.67,59,0,0.0,clear sky
181,Ahar,IR,38.4774,47.0699,15.21,68,0,8.37,clear sky
182,Maxixe,MZ,-23.8597,35.3472,78.62,69,20,6.91,few clouds
183,Valparaiso,CL,-33.0393,-71.6273,71.24,36,0,12.66,clear sky
184,Comodoro Rivadavia,AR,-45.8667,-67.5,75.06,22,20,13.8,few clouds
185,Awjilah,LY,29.1081,21.2869,55.81,49,0,6.08,clear sky
186,Porto Santo,PT,33.072,-16.3415,66.11,72,20,16.11,few clouds
